DEBUG 47458: Cant=150.0, PP=0.0, Pend=150.0, SegDur=9.0, TotDur=150.0, QtyDia=9.0
DEBUG 47458: Cant=150.0, PP=0.0, Pend=150.0, SegDur=9.0, TotDur=150.0, QtyDia=9.0
DEBUG 47458: Cant=150.0, PP=0.0, Pend=150.0, SegDur=9.0, TotDur=150.0, QtyDia=9.0
DEBUG 47458: Cant=150.0, PP=0.0, Pend=150.0, SegDur=9.0, TotDur=150.0, QtyDia=9.0
DEBUG 47458: Cant=150.0, PP=0.0, Pend=150.0, SegDur=9.0, TotDur=150.0, QtyDia=9.0
DEBUG 47458: Cant=150.0, PP=0.0, Pend=150.0, SegDur=9.0, TotDur=150.0, QtyDia=9.0
DEBUG 47458: Cant=150.0, PP=0.0, Pend=150.0, SegDur=9.0, TotDur=150.0, QtyDia=9.0
DEBUG 47458: Cant=150.0, PP=0.0, Pend=150.0, SegDur=9.0, TotDur=150.0, QtyDia=9.0
DEBUG 47458: Cant=150.0, PP=0.0, Pend=150.0, SegDur=9.0, TotDur=150.0, QtyDia=9.0
DEBUG 47458: Cant=150.0, PP=0.0, Pend=150.0, SegDur=9.0, TotDur=150.0, QtyDia=9.0
DEBUG 47458: Cant=150.0, PP=0.0, Pend=150.0, SegDur=9.0, TotDur=150.0, QtyDia=9.0
DEBUG 47076: Cant=25.0, PP=18.0, Pend=7.0, SegDur=0.7, TotDur=0.7000000000000001, QtyDia=7.0
DEBUG 47471: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.35, TotDur=4.35, QtyDia=1.0
DEBUG 47353: Cant=1.0, PP=0.0, Pend=1.0, SegDur=5.0, TotDur=5.0, QtyDia=1.0
DEBUG 47268: Cant=1.0, PP=0.0, Pend=1.0, SegDur=4.35, TotDur=4.35, QtyDia=1.0
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=0.6, TotDur=1347.0, QtyDia=0.2
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=15.0, TotDur=1347.0, QtyDia=5.0
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=5.0, TotDur=1347.0, QtyDia=1.67
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=15.0, TotDur=1347.0, QtyDia=5.0
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=15.0, TotDur=1347.0, QtyDia=5.0
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=15.0, TotDur=1347.0, QtyDia=5.0
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=15.0, TotDur=1347.0, QtyDia=5.0
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=15.0, TotDur=1347.0, QtyDia=5.0
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=5.0, TotDur=1347.0, QtyDia=1.67
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=15.0, TotDur=1347.0, QtyDia=5.0
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=15.0, TotDur=1347.0, QtyDia=5.0
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=15.0, TotDur=1347.0, QtyDia=5.0
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=15.0, TotDur=1347.0, QtyDia=5.0
DEBUG 46677: Cant=450.0, PP=1.0, Pend=449.0, SegDur=5.0, TotDur=1347.0, QtyDia=1.67
DEBUG 47391: Cant=1.0, PP=0.0, Pend=1.0, SegDur=5.8, TotDur=5.8, QtyDia=1.0
